station_availability
198 minutes left!
205 minutes left!
229 minutes left!
190 minutes left!
349 minutes left!
314 minutes left!
275 minutes left!
341 minutes left!
172 minutes left!
146 minutes left!
48 minutes left!
228 minutes left!
40 minutes left!
238 minutes left!
31 minutes left!
84 minutes left!
199 minutes left!
1 minutes left!
210 minutes left!
353 minutes left!
239 minutes left!
194 minutes left!
37 minutes left!
240 minutes left!
117 minutes left!
331 minutes left!
81 minutes left!
7 minutes left!
247 minutes left!
267 minutes left!
2 minutes left!
219 minutes left!
57 minutes left!
119 minutes left!
195 minutes left!
147 minutes left!
330 minutes left!
13 minutes left!
347 minutes left!
315 minutes left!
340 minutes left!
236 minutes left!
303 minutes left!
27 minutes left!
36 minutes left!
50 minutes left!
322 minutes left!
104 minutes left!
184 minutes left!
173 minutes left!
78 minutes left!
352 minutes left!
133 minutes left!
338 minutes left!
32 minutes left!
193 minutes left!
201 minutes left!
216 minutes left!
113 minutes left!
83 minutes left!
211 minutes left!
318 minutes left!
317 minutes left!
221 minutes left!
41 minutes left!
5 minutes left!
319 minutes left!
284 minutes left!
164 minutes left!
54 minutes left!
160 minutes left!
122 minutes left!
270 minutes left!
296 minutes left!
179 minutes left!
350 minutes left!
192 minutes left!
258 minutes left!
170 minutes left!
25 minutes left!
308 minutes left!
118 minutes left!
263 minutes left!
142 minutes left!
28 minutes left!
343 minutes left!
188 minutes left!
294 minutes left!
316 minutes left!
223 minutes left!
266 minutes left!
60 minutes left!
327 minutes left!
49 minutes left!
218 minutes left!
11 minutes left!
354 minutes left!
252 minutes left!
215 minutes left!
213 minutes left!
222 minutes left!
356 minutes left!
358 minutes left!
174 minutes left!
8 minutes left!
279 minutes left!
191 minutes left!
87 minutes left!
97 minutes left!
182 minutes left!
22 minutes left!
76 minutes left!
287 minutes left!
93 minutes left!
129 minutes left!
52 minutes left!
281 minutes left!
4 minutes left!
38 minutes left!
346 minutes left!
200 minutes left!
293 minutes left!
66 minutes left!
107 minutes left!
90 minutes left!
241 minutes left!
154 minutes left!
157 minutes left!
150 minutes left!
39 minutes left!
208 minutes left!
18 minutes left!
282 minutes left!
344 minutes left!
233 minutes left!
135 minutes left!
225 minutes left!
74 minutes left!
10 minutes left!
274 minutes left!
351 minutes left!
288 minutes left!
333 minutes left!
34 minutes left!
325 minutes left !
301 minutes left!
103 minutes left!
85 minutes left!
285 minutes left!
63 minutes left!
127 minutes left!
187 minutes left!
334 minutes left!
175 minutes left!
139 minutes left!
126 minutes left!
217 minutes left!
299 minutes left!
68 minutes left!
58 minutes left!
246 minutes left!
321 minutes left!
348 minutes left!
320 minutes left!
169 minutes left!
105 minutes left!
203 minutes left!
186 minutes left!
329 minutes left!
26 minutes left!
305 minutes left!
14 minutes left!
153 minutes left!
250 minutes left!
262 minutes left!
159 minutes left!
272 minutes left!
94 minutes left!
89 minutes left!
163 minutes left!
101 minutes left!
290 minutes left!
128 minutes left!
189 minutes left!
298 minutes left!
77 minutes left!
152 minutes left!
